uuid,file_md5,index,source,target,argc,argv,return,dynamic
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,0,__main__,zend_compile_file,2,{"value": []},{"value": "28413C3941413C3A3941413C3A3941413C3A413C41413C2600003C3E"},[]
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,1,__main__,error_reporting,1,"{""value"": [[0, ""new_error_level"", 1]]}",{"value": "void"},[0]
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,2,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""display_errors""], [1, ""newvalue"", ""Off""]]}",{"value": "void"},"[0, 0]"
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,3,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""max_execution_time""], [1, ""newvalue"", 20000]]}",{"value": "void"},"[0, 0]"
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,4,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""memory_limit""], [1, ""newvalue"", ""256M""]]}",{"value": "void"},"[0, 0]"
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,5,__main__,header,1,"{""value"": [[0, ""header"", ""content-Type: text/html; charset=utf-8""]]}",{"value": "void"},[0]
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,6,__main__,define,2,"{""value"": [[0, ""constant_name"", ""Viv, bebegim.""], [1, ""value"", ""Denzel-\\xe4\\xbd\\xa0\\xe7\\x9a\\x84\\xe8\\x8b\\xb1\\xe9\\x9b\\x84""]]}",{"value": "void"},"[0, 0]"
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,7,__main__,s,0,{"value": []},{"value": "void"},[]
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,8,s,str_rot13,1,"{""value"": [[0, ""str"", ""66756r6374696s6r20737472646972282473747229207o2072657475726r207374725s7265706p61636528617272617928275p5p272p272s2s272p27253237272p""]]}",{"value": "66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c"},[0]
697e967165f8215d73220c4fd0e5a5ad,d222ab99e924afdc7f631384753a70b5,9,s,pack,2,"{""value"": [[0, ""format"", ""H*""], [1, ""args"", ""66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c""]]}","{""value"": ""function strdir($str) { return str_replace(array('\\\\','//','%27','%22'),array('/','/','\\'','\""'),chop($str)); }\r\nfunction chkgpc($a""}","[0, 0]"
