uuid,file_md5,index,source,target,argc,argv,return,dynamic
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,0,__main__,zend_compile_file,2,{"value": []},{"value": "28413C3941413C3A3941413C3A3941413C3A413C41413C2600003C3E"},[]
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,1,__main__,error_reporting,1,"{""value"": [[0, ""new_error_level"", 1]]}",{"value": "void"},[0]
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,2,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""display_errors""], [1, ""newvalue"", ""Off""]]}",{"value": "void"},"[0, 0]"
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,3,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""max_execution_time""], [1, ""newvalue"", 20000]]}",{"value": "void"},"[0, 0]"
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,4,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""memory_limit""], [1, ""newvalue"", ""256M""]]}",{"value": "void"},"[0, 0]"
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,5,__main__,header,1,"{""value"": [[0, ""header"", ""content-Type: text/html; charset=utf-8""]]}",{"value": "void"},[0]
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,6,__main__,define,2,"{""value"": [[0, ""constant_name"", ""Viv, bebegim.""], [1, ""value"", ""Denzel-\\xc4\\xe3\\xb5\\xc4\\xd3\\xa2\\xd0\\xdb""]]}",{"value": "void"},"[0, 0]"
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,7,__main__,s,0,{"value": []},{"value": "void"},[]
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,8,s,str_rot13,1,"{""value"": [[0, ""str"", ""66756r6374696s6r20737472646972282473747229207o2072657475726r207374725s7265706p61636528617272617928275p5p272p272s2s272p27253237272p""]]}",{"value": "66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c"},[0]
5a98f7dd95d2e3ca00ebf191a2f3dd5b,dcec1d90df0775a1f4cec92cd8cef3be,9,s,pack,2,"{""value"": [[0, ""format"", ""H*""], [1, ""args"", ""66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c""]]}","{""value"": ""function strdir($str) { return str_replace(array('\\\\','//','%27','%22'),array('/','/','\\'','\""'),chop($str)); }\r\nfunction chkgpc($a""}","[0, 0]"
